,beta,gamma,size,file_name
8,8.7,0.7000000000000001,932842,phase/N_400_Nit_24999_a_0.5_b_8.7_c_0.7000000000000001_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
9,8.7,0.8,584207,phase/N_400_Nit_24999_a_0.5_b_8.7_c_0.8_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
10,8.7,0.9,444682,phase/N_400_Nit_24999_a_0.5_b_8.7_c_0.9_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
11,8.7,1.0,322708,phase/N_400_Nit_24999_a_0.5_b_8.7_c_1.0_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
12,9.7,0.05,423546,phase/N_400_Nit_24999_a_0.5_b_9.7_c_0.05_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
13,9.7,0.1,417106,phase/N_400_Nit_24999_a_0.5_b_9.7_c_0.1_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
14,9.7,0.2,442289,phase/N_400_Nit_24999_a_0.5_b_9.7_c_0.2_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
15,9.7,0.30000000000000004,446869,phase/N_400_Nit_24999_a_0.5_b_9.7_c_0.30000000000000004_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
16,9.7,0.4,412034,phase/N_400_Nit_24999_a_0.5_b_9.7_c_0.4_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
17,9.7,0.5,387033,phase/N_400_Nit_24999_a_0.5_b_9.7_c_0.5_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
18,9.7,0.6,435580,phase/N_400_Nit_24999_a_0.5_b_9.7_c_0.6_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
19,9.7,0.7000000000000001,374735,phase/N_400_Nit_24999_a_0.5_b_9.7_c_0.7000000000000001_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
20,9.7,0.8,536469,phase/N_400_Nit_24999_a_0.5_b_9.7_c_0.8_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
21,9.7,0.9,509517,phase/N_400_Nit_24999_a_0.5_b_9.7_c_0.9_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
22,9.7,1.0,341722,phase/N_400_Nit_24999_a_0.5_b_9.7_c_1.0_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
1,10.8,0.05,597676,phase/N_400_Nit_24999_a_0.5_b_10.8_c_0.05_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
2,10.8,0.1,496099,phase/N_400_Nit_24999_a_0.5_b_10.8_c_0.1_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
3,10.8,0.2,1124604,phase/N_400_Nit_24999_a_0.5_b_10.8_c_0.2_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
4,10.8,0.30000000000000004,1071177,phase/N_400_Nit_24999_a_0.5_b_10.8_c_0.30000000000000004_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
5,10.8,0.4,1266924,phase/N_400_Nit_24999_a_0.5_b_10.8_c_0.4_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
6,10.8,0.5,1006833,phase/N_400_Nit_24999_a_0.5_b_10.8_c_0.5_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
7,10.8,0.6,882997,phase/N_400_Nit_24999_a_0.5_b_10.8_c_0.6_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
8,10.8,0.7000000000000001,938637,phase/N_400_Nit_24999_a_0.5_b_10.8_c_0.7000000000000001_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
9,10.8,0.8,844001,phase/N_400_Nit_24999_a_0.5_b_10.8_c_0.8_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
