,beta,gamma,size,file_name
8,8.7,0.7000000000000001,804356,phase/N_400_Nit_25000_a_0.5_b_8.7_c_0.7000000000000001_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
9,8.7,0.8,137741,phase/N_400_Nit_25000_a_0.5_b_8.7_c_0.8_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
10,8.7,0.9,158051,phase/N_400_Nit_25000_a_0.5_b_8.7_c_0.9_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
11,8.7,1.0,156474,phase/N_400_Nit_25000_a_0.5_b_8.7_c_1.0_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
12,9.7,0.05,129613,phase/N_400_Nit_25000_a_0.5_b_9.7_c_0.05_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
13,9.7,0.1,163322,phase/N_400_Nit_25000_a_0.5_b_9.7_c_0.1_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
14,9.7,0.2,168986,phase/N_400_Nit_25000_a_0.5_b_9.7_c_0.2_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
15,9.7,0.30000000000000004,172692,phase/N_400_Nit_25000_a_0.5_b_9.7_c_0.30000000000000004_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
16,9.7,0.4,158942,phase/N_400_Nit_25000_a_0.5_b_9.7_c_0.4_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
17,9.7,0.5,179715,phase/N_400_Nit_25000_a_0.5_b_9.7_c_0.5_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
18,9.7,0.6,213614,phase/N_400_Nit_25000_a_0.5_b_9.7_c_0.6_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
19,9.7,0.7000000000000001,166896,phase/N_400_Nit_25000_a_0.5_b_9.7_c_0.7000000000000001_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
20,9.7,0.8,146779,phase/N_400_Nit_25000_a_0.5_b_9.7_c_0.8_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
21,9.7,0.9,148864,phase/N_400_Nit_25000_a_0.5_b_9.7_c_0.9_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
22,9.7,1.0,140378,phase/N_400_Nit_25000_a_0.5_b_9.7_c_1.0_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
1,10.8,0.05,310563,phase/N_400_Nit_25000_a_0.5_b_10.8_c_0.05_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
2,10.8,0.1,253898,phase/N_400_Nit_25000_a_0.5_b_10.8_c_0.1_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
3,10.8,0.2,230177,phase/N_400_Nit_25000_a_0.5_b_10.8_c_0.2_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
4,10.8,0.30000000000000004,435132,phase/N_400_Nit_25000_a_0.5_b_10.8_c_0.30000000000000004_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
5,10.8,0.4,622615,phase/N_400_Nit_25000_a_0.5_b_10.8_c_0.4_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
6,10.8,0.5,807879,phase/N_400_Nit_25000_a_0.5_b_10.8_c_0.5_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
7,10.8,0.6,848766,phase/N_400_Nit_25000_a_0.5_b_10.8_c_0.6_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
8,10.8,0.7000000000000001,839364,phase/N_400_Nit_25000_a_0.5_b_10.8_c_0.7000000000000001_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
9,10.8,0.8,671537,phase/N_400_Nit_25000_a_0.5_b_10.8_c_0.8_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
10,10.8,0.9,153442,phase/N_400_Nit_25000_a_0.5_b_10.8_c_0.9_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
11,10.8,1.0,150296,phase/N_400_Nit_25000_a_0.5_b_10.8_c_1.0_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
12,11.9,0.05,136960,phase/N_400_Nit_25000_a_0.5_b_11.9_c_0.05_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
13,11.9,0.1,195510,phase/N_400_Nit_25000_a_0.5_b_11.9_c_0.1_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
14,11.9,0.2,225245,phase/N_400_Nit_25000_a_0.5_b_11.9_c_0.2_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
15,11.9,0.30000000000000004,174114,phase/N_400_Nit_25000_a_0.5_b_11.9_c_0.30000000000000004_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
16,11.9,0.4,146659,phase/N_400_Nit_25000_a_0.5_b_11.9_c_0.4_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
17,11.9,0.5,152403,phase/N_400_Nit_25000_a_0.5_b_11.9_c_0.5_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
18,11.9,0.6,149010,phase/N_400_Nit_25000_a_0.5_b_11.9_c_0.6_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
19,11.9,0.7000000000000001,173462,phase/N_400_Nit_25000_a_0.5_b_11.9_c_0.7000000000000001_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
20,11.9,0.8,151714,phase/N_400_Nit_25000_a_0.5_b_11.9_c_0.8_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
21,11.9,0.9,145007,phase/N_400_Nit_25000_a_0.5_b_11.9_c_0.9_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
22,11.9,1.0,151523,phase/N_400_Nit_25000_a_0.5_b_11.9_c_1.0_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
1,13.0,0.05,289905,phase/N_400_Nit_25000_a_0.5_b_13.0_c_0.05_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
2,13.0,0.1,393974,phase/N_400_Nit_25000_a_0.5_b_13.0_c_0.1_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
3,13.0,0.2,249439,phase/N_400_Nit_25000_a_0.5_b_13.0_c_0.2_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
4,13.0,0.30000000000000004,439267,phase/N_400_Nit_25000_a_0.5_b_13.0_c_0.30000000000000004_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
5,13.0,0.4,478490,phase/N_400_Nit_25000_a_0.5_b_13.0_c_0.4_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
